ReDate,ReValue
2021/3/16,2017
2021/3/17,2105
2021/3/18,2215
2021/3/19,2281
2021/3/22,2319
2021/3/23,2271
2021/3/24,2194
2021/3/25,2172
2021/3/26,2178
2021/3/29,2162
2021/3/30,2103
2021/3/31,2046
2021/4/1,2072
2021/4/2,2082
2021/4/6,2092
2021/4/7,2127
2021/4/8,2088
2021/4/9,2085
2021/4/12,2145
2021/4/13,2140
2021/4/14,2178
2021/4/15,2323
2021/4/16,2385
2021/4/19,2432
2021/4/20,2472
2021/4/21,2710
2021/4/22,2750
2021/4/23,2788
2021/4/26,2808
2021/4/27,2889
2021/4/28,2957
2021/4/29,3007
2021/4/30,3053
2021/5/4,3157
2021/5/5,3266
2021/5/6,3212
2021/5/7,3183
2021/5/10,3240
2021/5/11,3254
2021/5/12,3139
2021/5/13,3077
2021/5/14,2939
2021/5/17,2856
2021/5/18,2795
2021/5/19,2801
2021/5/20,2824
2021/5/21,2869
2021/5/24,2881
2021/5/25,2809
2021/5/26,2754
2021/5/27,2688
2021/5/28,2596
2021/5/31,2582
2021/6/1,2568
2021/6/2,2530
2021/6/3,2472
2021/6/4,2438
2021/6/7,2428
2021/6/8,2420
2021/6/9,2481
2021/6/10,2669
2021/6/11,2857
2021/6/14,2944
2021/6/15,3025
2021/6/16,3176
2021/6/17,3267
2021/6/18,3218
2021/6/21,3190
2021/6/22,3119
2021/6/23,3147
2021/6/24,3175
2021/6/25,3255
2021/6/28,3324
2021/6/29,3418
2021/6/30,3383
2021/7/1,3338
2021/7/2,3285
2021/7/5,3224
2021/7/6,3179
2021/7/7,3241
2021/7/8,3281
2021/7/9,3300
2021/7/12,3300
2021/7/13,3228
2021/7/14,3139
2021/7/15,3073
