ReDate,ReClose,Date,Open,High,Low,Close,Adj Close,Volume,,
2021/3/16,11.41,2021/3/16,10.99,11.67,10.82,11.41,11.41,147432554,,
2021/3/17,12.55,2021/3/17,11.36,12.55,11.3,12.55,12.55,219703076,,
2021/3/18,12.96,2021/3/18,12.95,13.12,12.6,12.96,12.96,223296034,,
2021/3/19,12.57,2021/3/19,12.85,13.47,12.41,12.57,12.57,239245871,,
2021/3/22,13.01,2021/3/22,13,13.42,12.73,13.01,13.01,186129211,,
2021/3/23,12.18,2021/3/23,13.05,13.16,12,12.18,12.18,209784058,,
2021/3/24,10.96,2021/3/24,11.91,12.05,10.96,10.96,10.96,231624820,,
2021/3/25,11.33,2021/3/25,10.64,11.56,10.62,11.33,11.33,162938339,,
2021/3/26,12.28,2021/3/26,11.61,12.45,11.52,12.28,12.28,172157097,,
2021/3/29,11.86,2021/3/29,12.63,12.63,11.45,11.86,11.86,178980094,,
2021/3/30,12.29,2021/3/30,11.92,12.3,11.7,12.29,12.29,147198234,,
2021/3/31,13.52,2021/3/31,12.28,13.52,11.8,13.52,13.52,250425422,,
2021/4/1,14.08,2021/4/1,13.52,14.55,13.4,14.08,14.08,289653525,,
2021/4/2,14.1,2021/4/2,14,14.54,13.73,14.1,14.1,190416560,,
2021/4/6,14.68,2021/4/6,14.2,15.12,14.2,14.68,14.68,198757028,,
2021/4/7,16.15,2021/4/7,16.15,16.15,16.15,16.15,16.15,37810703,,
2021/4/8,16,2021/4/8,17.37,17.77,15.94,16,16,578133755,,
2021/4/9,16.64,2021/4/9,15.9,17.23,15.9,16.64,16.64,435603244,,
2021/4/12,15.26,2021/4/12,16.61,16.71,14.99,15.26,15.26,398304110,,
2021/4/13,14.51,2021/4/13,15.38,15.49,14.48,14.51,14.51,301471435,,
2021/4/14,14.52,2021/4/14,14.49,14.86,14.33,14.52,14.52,219033237,,
2021/4/15,14.29,2021/4/15,14.63,14.72,14.19,14.29,14.29,171816087,,
2021/4/16,15.02,2021/4/16,14.4,15.18,14.32,15.02,15.02,236056278,,
2021/4/19,15.05,2021/4/19,14.9,15.05,14.65,15.05,15.05,187465160,,
2021/4/20,14.77,2021/4/20,14.8,15.55,14.72,14.77,14.77,198121058,,
2021/4/21,14.86,2021/4/21,14.36,15.15,14.18,14.86,14.86,187508113,,
2021/4/22,15.64,2021/4/22,15.3,15.88,15.11,15.64,15.64,265773885,,
2021/4/23,15.51,2021/4/23,15.43,15.84,15.23,15.51,15.51,165856442,,
2021/4/26,16.12,2021/4/26,15.7,16.62,15.6,16.12,16.12,238912359,,
2021/4/27,17.37,2021/4/27,16.24,17.67,15.91,17.37,17.37,300293061,,
2021/4/28,17.25,2021/4/28,17.27,17.54,16.68,17.25,17.25,217133521,,
2021/4/29,18.37,2021/4/29,17.39,18.75,16.93,18.37,18.37,301301443,,
2021/4/30,18.28,2021/4/30,17.97,18.85,17.81,18.28,18.28,244638447,,
2021/5/4,18.71,2021/5/6,19.89,20.11,19.34,19.59,19.59,361342619,,
2021/5/5,19.14,2021/5/7,19.6,21.24,19.48,19.95,19.95,433984234,,
2021/5/6,19.59,2021/5/10,20.05,20.7,18.91,20.44,20.44,351294623,,
2021/5/7,19.95,2021/5/11,20,20.15,18.61,18.62,18.62,348747597,,
2021/5/10,20.44,2021/5/12,18.81,19.36,18.4,19.07,19.07,251235956,,
2021/5/11,18.62,2021/5/13,18.4,19.45,18.28,19.01,19.01,200679351,,
2021/5/12,19.07,2021/5/14,19.1,19.43,18.71,19.08,19.08,166954735,,
2021/5/13,19.01,2021/5/17,19.62,20.99,19.62,20.99,20.99,324602680,,
2021/5/14,19.08,2021/5/18,21.4,22.47,21.08,22.03,22.03,303846179,,
2021/5/17,20.99,2021/5/19,22.24,22.85,21.6,21.87,21.87,261018075,,
2021/5/18,22.03,2021/5/20,21.51,21.82,19.99,20.26,20.26,344196864,,
2021/5/19,21.87,2021/5/21,20.65,22.29,20.35,22.29,22.29,334179212,,
2021/5/20,20.26,2021/5/24,22.59,22.65,20.8,21.37,21.37,314505755,,
2021/5/21,22.29,2021/5/25,21.2,21.36,20.2,21.2,21.2,243538479,,
2021/5/24,21.37,2021/5/26,20.7,20.96,20,20.68,20.68,262953543,,
2021/5/25,21.2,2021/5/27,20.5,21.56,20.4,20.96,20.96,199854402,,
2021/5/26,20.68,2021/5/28,21.5,21.98,21.11,21.67,21.67,248992749,,
2021/5/27,20.96,2021/5/31,21.4,21.74,20.7,21.37,21.37,186816591,,
2021/5/28,21.67,2021/6/1,21.11,22.75,21.02,22.35,22.35,268816321,,
2021/5/31,21.37,2021/6/2,22.2,23.26,21.16,21.24,21.24,319761092,,
2021/6/1,22.35,2021/6/3,21.16,21.5,20.18,20.31,20.31,276346351,,
2021/6/2,21.24,2021/6/4,20.12,20.85,19.8,20.44,20.44,157440176,,
2021/6/3,20.31,2021/6/7,20.81,21.74,20.8,21.59,21.59,217304335,,
2021/6/4,20.44,2021/6/8,21.87,22.07,21.36,21.78,21.78,197986927,,
2021/6/7,21.59,2021/6/9,21.78,22.98,21.2,22.75,22.75,295382499,,
2021/6/8,21.78,2021/6/10,23.45,25.03,23.22,25.03,25.03,366451289,,
2021/6/9,22.75,2021/6/11,25.8,26.48,25.05,25.88,25.88,438412101,,
2021/6/10,25.03,2021/6/15,25.41,26.55,25.3,26.1,26.1,268405563,,
2021/6/11,25.88,2021/6/16,25.99,26.35,24.75,24.75,24.75,273602435,,
2021/6/14,25.99,2021/6/17,25.47,27.23,25.28,27.13,27.13,372543878,,
2021/6/15,26.1,2021/6/18,26.7,28.16,26.5,27.57,27.57,311003473,,
2021/6/16,24.75,2021/6/21,27.05,27.68,26.43,27.15,27.15,228769599,,
2021/6/17,27.13,2021/6/22,27.64,28.27,26.91,27.99,27.99,250700644,,
2021/6/18,27.57,2021/6/23,27.85,30,26.5,27,27,460953574,,
2021/6/21,27.15,2021/6/24,26.81,27.49,26.2,26.69,26.69,261332026,,
2021/6/22,27.99,2021/6/25,27.8,29,27.37,28.95,28.95,352372918,,
2021/6/23,27,2021/6/28,29,29.65,28.45,29.53,29.53,253436679,,
2021/6/24,26.69,2021/6/29,28.5,29.29,28.11,29.1,29.1,267493800,,
2021/6/25,28.95,2021/6/30,29.01,30.67,28.83,30.54,30.54,275915555,,
2021/6/28,29.53,2021/7/1,30.79,31.09,29.9,30.17,30.17,200103981,,
2021/6/29,29.1,2021/7/2,29.95,30.72,29.31,30.66,30.66,215048121,,
2021/6/30,30.54,2021/7/5,30.09,30.59,29.18,30.4,30.4,219430803,,
2021/7/1,30.17,2021/7/6,30.5,31.61,29.7,30.94,30.94,255903279,,
2021/7/2,30.66,2021/7/7,30.65,33.4,30.15,32.6,32.6,303031867,,
2021/7/5,30.4,2021/7/8,30.4,31.88,30.1,31.03,31.03,433757884,,
2021/7/6,30.94,2021/7/9,30.52,30.82,28.62,28.8,28.8,419606240,,
2021/7/7,32.6,2021/7/12,28.8,29.89,28,29.71,29.71,279162165,,
2021/7/8,31.03,2021/7/13,22.8,23.88,22.55,23.75,23.75,445736257,,
2021/7/9,28.8,2021/7/14,24,24.15,22.85,23.16,23.16,215574006,,
2021/7/12,29.71,2021/7/15,22.35,22.69,21.06,21.7,21.7,457052222,,
2021/7/13,23.75,,,,,,,,,
2021/7/14,23.16,,,,,,,,,
2021/7/15,21.7,,,,,,,,,
